cytoband	9p21.3	9p23	4q34.3	9q21.11	15q15.1	22q13.32	13q12.11	1p12	19p13.3	21q11.2	1p13.3	11q25	13q34	16q24.1	1p36.11	18q23	18q21.1	2q22.1	8p23.2	10q26.3	5q11.2	6q26	16p13.3	3p12.3	16q23.1	5q35.3	13q14.2	15q11.2	14q32.13	17p13.3	5q31.1	11q12.1	11p15.5	8p21.3	10p15.3	13q31.1	9q34.3	3q11.2	19p12	4p16.3	6q14.3	12p13.2	19p13.2	22q11.21	2q37.2	20p12.1	3p11.1	12q12	11q23.2	11p15.4	17p11.2	9q22.31	
			MIR3945	LOC101928381						FRGCA	SYCP1				NPPB		LINC01630				THBS4	IPCEF1				ZNF346		LTK	CDC42BPB		FOXD1	CAPRIN1	ELF5	TNFRSF10C		PRR20A	GFI1B			PIGG	FRK	PTMS		GNB1L	IDH1	CST9L	CPOX		NCAM1	KCNC1	FLJ36000	ENG	
			LINC01093	LOC101929583							TAF13				OPRD1		MIR1539				XRCC4	TIAM2				TSPAN17		SMAD3	TCL1B		GABRA1	MDK	MARK2	TNFRSF10B		LINC00410	SSNA1			BLOC1S4	FUCA2	PTPN6		PEX26	SP110	CST9	CRYGS		NFRKB	KCNJ11	LGALS9B	STOM	
			LOC100506272	LOC102723709							TSHB				PAFAH2		MIR4319				ST8SIA4	LINC01558				OR2V1		SMAD6	FAM30A		GABRA6	MEN1	ESRRA	TNFRSF10A		HNRNPA1L2	EDF1			STK32B	FYN	PTPRO		MICAL3	IGFBP2	MLLT10P1	CSTA		NNMT	KCNQ1	CCDC144NL	FANCC	
			MIR4455	LOC102724238							VCAM1				PAX7		MIR4320				SERF1A	FBXO5				PRELID1		MAN2C1	TECPR2		GABRB2	SCGB2A1	EXT2	FGF17		GPR180	DPM2			LYAR	GABBR1	PEX5		MRPL40	IGFBP5	MACROD2	CTNNB1		NPAT	LDHA	KRT17P5	FANCG	
			LINC01099	LOC102724580							WNT2B				PEX14		TCEB3CL2				ENC1	RGS17				MAT2B		MAP1A	GOLGA5		GABRG2	SCGB2A2	F2	CHRNA6		COMMD6	FUBP3			SLC2A9	GABRR1	PZP		RTN4R	IHH	LINC00261	CX3CR1		NRGN	LDHC	LOC339260	FBP1	
			WWC2-AS1	LOC102725126							CSDE1				PGD		RPL17-C18orf32				AP3B1	DLL1				TLX3		MEIS2	FBLN5		GDF9	MAP3K11	FANCF	DOK2		TPTE2P3	CLIC3			TBC1D14	GABRR2	SCNN1A		C22orf29	CXCR1	BANF2	CYP8B1		OPCML	LMO1	C17orf51	FKTN	
			LINC01262	LINC01410							BCAR3				PIK3CD		MIR4528				PLPP1	MRPL18				KCNIP1		MFAP1	SIVA1		GFRA3	MYBPC3	FAU	ASH2L		HS6ST3	GTF3C5			SORCS2	GJA1	SLC2A3		THAP7	CXCR2	NANP	DAG1		PAFAH1B2	LMO2	CCDC144CP	FCN1	
			LOC102723766	LOC103908605							TTF2				PLA2G2A		MIR4527				PDE8B	CLDN20				ZNF354C		TRPM1	CYP46A1		GLRA1	NDUFS3	MS4A2	BAG4		OR7E156P	GTF3C4			UVSSA	GCLC	VAMP1		OR11H1	CXCR2P1	MACROD2-IT1	DGKG		PGR	LRP4	LOC388436	FCN2	
			LVCAT8	LOC105376064							CDC14A				PLA2G5		MIR4743				HSPB3	NOX3				RPL26L1		MPI	PAPOLA		GLRX	OSBP	FEN1	ENTPD4		LINC00282	MED27			ZFYVE28	GLO1	TEAD4		SLC25A18	INHA	SCP2D1	DAZL		POU2AF1	LSP1	FLJ35934	FOXE1	
			LOC105377590	LOC105379450							RTCA				PLOD1		MIR4744				HOMER1	TFB1M				C5orf45		MYO1E	PTPN21		GM2A	OVOL1	FKBP2	PHYHIP		LINC00550	PTGES			AFAP1	GLP1R	TNFRSF1A		TMEM191A	INPP1	CST11	DLG1		PPP2R1B	CAPRIN1	GRAPL	FPGS	
			LINC01596	XLOC_007697							SLC16A4				EXOSC10		LOC101927229				SCAMP1	AIG1				DDX41		MYO5A	RCOR1		GPX3	P2RX3	FOLH1	SORBS3		LINC00347	ADAMTSL2			TNIP2	GNL1	TPI1		KLHL22	INPP5D	NCOR1P1	DNASE1L3		PTS	MDK	CCDC144NL-AS1	FXN	
											CD101				PPP1R8		LINC01478				CARTPT	SNX9				NOP16		MYO9A	PACS2		GRIA1	PAX6	FSHB	NPM2		NEK5	PPP1R26			HAUS3	GPR6	TULP3		DGCR6L	IRS1	CST13P	DOCK3		NECTIN1	MUC2	FAM83G	NR5A1	
											ARHGAP29				PTAFR		SLC14A2-AS1				TTC37	VTA1				HMP19		NDN	PPP1R13B		NR3C1	PGA5	FTH1	DCTN6		MIR17	SEC16A			ABCA11P	GPX5	VWF		RIMBP3	ITGA4	LINC00656	DRD3		RDX	MUC5AC	KRT16P3	GALT	
											LRIG2				RAP1GAP		LOC101928167				ZFYVE16	MPC1				UIMC1		NEDD4	DICER1		GTF2H2	PLCB3	GAS2	PNMA2		MIR18A	SH2D3C			GRPEL1	GRIK2	FGF23		SCARF2	ITGAV	LOC284788	DUSP7		RPS25	MUC6	EVPLL	GAS1	
											PLPPR4				RBBP4		LOC102724651				EDIL3	UNC93A				RAB24		NEO1	FLRT2		HARS	POLR2G	GIF	ADAM28		MIR19A	LAMC3			MFSD7	GRM1	MFAP5		TUBA3FP	KCNJ13	LOC284798	DVL3		SC5D	MYBPC3	LGALS9C	NR6A1	
											TSPAN2				RHCE		SNHG22				COL4A3BP	MTRF1L				NEURL1B		OAZ2	KIF26A		HEXB	PPP2R5B	GNG3	AP3M2		MIR19B1	TUBB4B			TMEM175	GRM4	USP5		GAB4	MAP2	FAM182A	ECT2		SCN2B	MYOD1	SNORA59A	GCNT1	
											BCAS2				RHD		LOC105667213				LHFPL2	RMND1				FAM193B		OCA2	TMEM251		HINT1	PRG2	GTF2H1	RBPMS		MIR20A	UBAC1			ABLIM2	GSTA1	MLF2		C22orf39	MYO1B	MIR663AHG	CELSR3		SCN4B	NAP1L4	MIR33B	GGTA1P	
											CEPT1				RNU1-4						CWC27	PHF10				TMED9		PKM	TCL6		HMGCR	PSMC3	HBB	ERLIN2		MIR92A1	OLFM1			AFAP1-AS1	GSTA2	KLRC4		TANGO2	MYL1	FRG1BP	EHHADH		SDHD	NDUFS3	KRT16P1	B4GALT1	
											VAV3				SNORA73A						CCNO	ERMARD				CDHR2		PLCB2	FOXN3-AS2		HMMR	PTPRJ	HBBP1	LZTS1		MIR17HG	ZER1			TMEM128	GSTA3	YBX3		CCT8L2	NAB1	LINC00493	EIF4A2		ST3GAL4	NELL1	ZNF286B	GLE1	
											LAMTOR5				RPA2						NSA2	AGPAT4				SPDL1		PML	GPR132		HSD17B4	PYGM	HBD	PROSC		ALG11	AGPAT2			ZNF518B	GSTA4	DYRK4		XKR3	NCL	FLJ33581	EIF4G1		SLN	NUCB2	SNORD3A	GNAQ	
											AP4B1				RPL11						FST	TULP4				NHP2		PPIB	SERPINA10		HSPA4	RAB3IL1	HBE1	XPO7		MZT1	POMT1			CTBP1-AS2	GTF2H4	GPRC5A		LINC00895	NDUFA10	LINC00851	EPHA3		SORL1	NUP98	SNORD3C	GNG10	
											PHTF1				RPS6KA1						POLR3G	HYMAI				RNF130		MAPK6	GLRX5		HSPA9	MAP4K2	HBG1	TRIM35		MIR4500HG	SDCCAG3			TMEM129	GUCA1A	CD163		LINC00896	NDUFB3	LOC613266	EPHB1		SRPRA	SLC22A18	SNORD3D	GOLGA1	
											AHCYL1				RSC1A1						PLK2	ADGRG6				KIAA1191		MAP2K1	EVL		NDST1	RAG1	HBG2	RHOBTB2		CTAGE11P	NOXA1			MRFAP1	GUCA1B	GDF3		AIFM3	NDUFS1	NKX2-4	EPHB3		ST14	SLC22A18AS	KCNJ18	GOLGA2	
											MAN1A2				SDHB						IQGAP2	PLEKHG1				ERGIC1		MAP2K5	GSKIP		HTR4	RAG2	HPX	DDHD2		MIR622	USP20			LOC93622	HIST1H1B	CLSTN3		RIMBP3C	SEPT2	FRG2EP	ETV5		TAGLN	PAX6	LOC100287072	GPR21	
											DDX20				SRSF4						SMA4	ARID1B				CLK4		PSMA4	CINP		IK	RAPSN	HRAS	KIF13B		PRR20B	SLC27A4			TADA2B	HCRTR2	NCAPD2		YDJC	NEU2	SNORD17	MECOM		TECTA	PDE3B	MIR1180	RAPGEF1	
											NTNG1				SLC2A5						SMA5	TMEM181				TENM2		PTPN9	ASB2		IL3	RARRES3	DNAJC4	PSD3		PRR20C	WDR5			HTRA3	HDAC2	CLEC2B		CCDC116	NEUROD1	MIR663A	FANCD2		THY1	PIK3C2A	MTRNR2L1	GSN	
											WDR47				SLC9A1						ESM1	ZBTB2				CNOT6		RAB27A	CPSF2		IL4	RCN1	IGF2	LEPROTL1		PRR20D	SPACA9			MRFAP1L1	HIVEP2	LPCAT3		LINC00528	NPPC	FAM182B	FBLN2		TRPC6	POLR2L	RAI1-AS1	HNRNPK	
											CLCC1				SRM						ADAMTS6	SMOC2				NSD1		RAD51	KCNK10		IL5	RELA	ILK	SLC39A14		LMO7DN	ADAMTS13			CLNK	HLA-A	KLRG1		POM121L4P	ORC2	C20orf78	FGF12		UPK2	PSMA1	EPN2-AS1	HSD17B3	
											SLC35A3				TAF12						RHOBTB3	ULBP3				GMCL1P1		RASGRF1	CDCA4		IL9	DPF2	INCENP	ADGRA2		ACOD1	CACFD1			EVC2	HLA-B	LRRC23		LOC284865	PAX3	LOC100130264	FHIT		ZBTB16	PSMC3	EPN2-IT1	DNAJA1	
											RWDD3				TCEA3						ELL2	ARMT1				RMND5B		RCN2	NRDE2		IL12B	ROM1	INS	DKK4		LOC100129307	SLC2A6			OTOP1	HLA-C	EMG1		PI4KAP2	PDCD1	LOC100134868	FLNB		ZNF202	PSMD13	FAM106B	HSPA5	
											PTPN22				TCEB3						SV2C	ZDHHC14				RANBP17		RORA	ATG2B		IL13	SIPA1	IRF7	LSM1		DNAJC3-AS1	MAN1B1			ZNF595	HLA-DMA	P3H3		TPTEP1	PDE1A	LINC01432	GAP43		CUL5	PTH	LINC01563	TNC	
											CHIA				TNFRSF1B						MRPS27	ADGB				PANK3		RPL4	UBR7		IRF1	SLC1A2	CD82	ADAMDEC1		MIR1297	DOLK			LINC01085	HLA-DMB	AKAP3		CCDC188	PDE6D	LOC100270804	GATA2		BARX2	PTPRJ	MIR6777	IARS	
											GPSM2				ZBTB17						PPWD1	FRMD1				BTNL8		RPLP1	MEG3		ITK	SLC3A2	KCNA4	PURG		MIR759	FNBP1			JAKMIP1	HLA-DOA	RAD51AP1		LRRC74B	SERPINE2	FRG1CP	GBE1		JRKL	RAG1	MIR6778	IL11RA	
											SLC25A24				SLC30A2						OTP	AGPAT4-IT1				DOK3		RPS17	PPP4R3A		KCNN2	SPI1	KCNC1	GOLGA7		MIR3169	SETX			FAM53A	HLA-DOB	KLRA1P		BCRP2	PLCL1	PET117	GHSR		ZPR1	RAG2	SMCR2	LCN2	
											DNTTIP2				LUZP1						SKIV2L2	LINC00574				ZFP2		RYR3	BTBD7		TNPO1	SSRP1	KCNJ11	SLC25A37		MIR3665	PMPCA			TRMT44	HLA-DPA1	TSPAN9		MIR130B	PMS1	MACROD2-AS1	GLB1		MTMR2	RAPSN	LOC105371703	LMX1B	
											SNX7				PRDM2						SSBP2	CCDC170				RUFY1		SCG5	TDP1		LECT2	STX3	KCNQ1	SCARA3		EDNRB-AS1	EXOSC2			ZBTB49	HLA-DPB1	STRAP		MIR185	PPP1R7	MIR3192	GNAI2		USP2	RCN1		MUSK	
											TRIM33				LAPTM5						BHMT2	MYCT1				CPEB4		SLC12A1	ZNF839		LMNB1	STX5	LDHA	SARAF		RBM26-AS1	NCS1			ZNF721	HLA-DPB2	PRR4		THAP7-AS1	PSMD1	LINC01431	GNAT1		PCSK7	RNH1		NCBP1	
											DPH5				PTP4A2						PART1	ULBP2				PRR7		SNRPN	SPATA7		LNPEP	TCN1	LDHC	KCTD9		INTS6-AS1	NUP188			ZNF718	HLA-DQA1	PHB2		P2RX6P	PTH2R	MIR4477A	GOLGA4		HTR3B	MRPL23		NDUFA8	
											GPR88				ARID1A						FAM169A	ULBP1				OR4F16		SNX1	KCNK13		LOX	TM7SF2	FADS1	WHSC1L1		LINC00458	CIZ1			CCDC96	HLA-DQA2	KLRK1		RIMBP3B	PTMA	LOC101926889	GOLGB1		ZW10	RPL27A		NDUFB6	
											TRMT13				SNHG3						DIMT1	LPAL2				TRIM7		SORD	C14orf132		CD180	TRAF6	FADS3	PIWIL2		SOX21-AS1	NELFB			BOD1L1	HLA-DQB1	GABARAPL1		DUXAP8	PTPRN	LOC101926935	GP5		MMP20	RPLP2		NFIL3	
											RSBN1				NR0B2						DMGDH	PPP1R14C				MXD3		SPINT1	DDX24		SMAD5	SCGB1A1	LMO1	ELP3		MIR4501	NSMF			CTBP1-AS	HLA-DQB2	IFFO1		FAM230B	SNORD20	LOC101926955	GP9		UBE4A	RPS13		NFX1	
											PALMD				FCN3						IPO11	SF3B5				THOC3		SRP14	UNC79		MAN2A1	VEGFB	LMO2	THAP1		MIR4500	GPSM1			CRIPAK	HLA-DRA	NECAP1		LOC642643	RPE	LOC101929526	XCR1		MED17	RRM1		NINJ1	
											ST7L				YARS						GCNT4	RSPH3				TRIM52		TCF12	BEGAIN		MAP1B	BEST1	LRP4	INTS10		MIR4704	DKFZP434A062			LOC285484	HLA-DRB1	CLEC4E		TMEM191C	RPL37A	KIZ-AS1	GPR15		EI24	SAA1		NPR2	
											PRPF38B				AKR7A2						POLK	TTLL2				PHYKPL		THBS1	PPP4R4		MCC	WT1	LSP1	CCDC25		MIR548X2	GBGT1			DOK7	HLA-DRB5	GALNT8		FAM230A	SAG	LOC101929608	GPR27		FEZ1	SAA2		NTRK2	
											PRMT6				ALDH4A1						ERAP1	FBXO30				UNC5A		TJP1	MOAP1		MEF2C	SF1	LTBP3	BRF2		MIR4703	SNORA65			LINC00955	HLA-DRB6	GPR162		MIR648	CCL20	LOC101929625	GPX1		CEP57	SAA3P		ROR2	
											SLC22A15				EIF3I						PELO	FAM120B				TRIM41		TLE3	DIO3OS		MFAP3	ZFPL1	CAPRIN1	INTS9		MIR5007	SNORD62A			RNF212	HLA-E	CLEC2D		MIR649	SLC4A3	LINC01427	GRM2		ARHGAP32	SAA4		ODF2	
											RNPC3				EIF4G3						DHX29	FNDC1				BOD1		TP53BP1	INF2		MSH3	PDHX	MDK	CSGALNACT1		MIR548AS	SNORD36C			LINC01097	HLA-F	COPS7A		TMEM191B	SLC11A1	LINC01384	GRM7		C2CD2L	SCT		OMD	
											LRIF1				PER3						DDX4	LRP11				COL23A1		TPM1	BCL11B		NAIP	FOSL1	MEN1	HR		LINC00557	SNORD36B			LINC01096	HLA-G	TAS2R9		PI4KAP1	SP100	FRG1DP	GSK3B		NAALAD2	SLC1A2		OGN	
											CTTNBP2NL				MAP3K6						SGTB	LTV1				UBTD2		TYRO3	OTUB2		NDUFA2	SLC43A1	SCGB2A1	PBK		LINC00564	SNORD36A			NOP14-AS1	HLA-H	TAS2R8		LOC729461	SPP2	ZNF337-AS1	GTF2E1		RBM7	SMPD1		ORM1	
											FAM212B				DHRS3						ARL15	SERAC1				SCGB3A1		TYRO3P	ZFYVE21		NEUROG1	DGKZ	SCGB2A2	ZNF395		LINC00558	SNORD24			NAT8L	HLA-J	TAS2R7		MIR301B	SSFA2	LOC105372582	GYG1		MPZL2	SPI1		ORM2	
											TMEM167B				VAMP3						AGGF1	PPIL4				SFXN1		UBE3A	MEG8		NPY6R	CHST1	MAP3K11	BIN3		LINC00560	TRUB2			MSANTD1	HLA-L	TAS2R13		CECR7	STAT1	LOC105379477	HCLS1		YAP1	TRIM21		PAPPA	
											OLFML3				SNRNP40						WDR41	LINC00473				GPRIN1		MKRN3	WDR25		PAM	API5	MUC2	TEX15		GPC5-AS1	ST6GALNAC4			FAM86EP	HMGA1	TAS2R10		CECR5-AS1	STAT4	LINC01598	HGD		HYOU1	SSRP1		PAX5	
											TMIGD3				THEMIS2						LOC55338	SYTL3				ZNF354B		SLC30A4	LINC00341		PCDH1	MADD	MUC5AC	C8orf4		GPC5-AS2	NDOR1			POLN	HSF2	TAS2R14		FLJ41941	TFPI		HRH1		ATP5L	ST5		PDCL	
											AMIGO1				H6PD						RIOK2	SFT2D1				C5orf47		PWAR5	CLMN		PCDHGC3	RPS6KA4	MUC6	CCAR2		GPC6-AS1	TOR1B			LOC389199	HSPA1A	CLEC4A		MIR1286	TNP1		HRG		GPR83	STIM1		PBX3	
											KIAA1324				SDC3						DEPDC1B	GINM1				C5orf58		ANP32A	CATSPERB		PCSK1	SYT7	MYBPC3	PLEKHA2		GPC6-AS2	TOR2A			USP17L6P	HSPA1B	HEBP1		MIR1306	TNS1		HES1		SRSF8	ABCC8		PCSK5	
											PTBP2				CROCC						BDP1	TAGAP				OR2Y1		SEMA7A	ZC3H14		PDE6A	FIBP	MYOD1	SH2D4A		PCDH9-AS2	NTMT1			USP17L9P	HSPA1L	DERA		MIR3198-1	TUBA4A		HTR1F		ADAMTS8	TAF10		PGM5	
											MFSD14A				PUM1						ERBIN	ADAT2				NUDCD2		CILP	RIN3		PDGFRB	MTA2	NAP1L4	PDLIM2		PCDH9-AS3	PHPT1			C4orf48	HSP90AB1	ING4		MIR3618	SUMO1		HYAL1		TREH	TALDO1		PHF2	
											RBM15				ZBTB40						NLN	STXBP5				CREBRF		PIAS1	C14orf159		PFDN1	UBE2L6	NDUFS3	EBF2		PCDH9-AS4	ANAPC2			CFAP99	HTR1B	DDX47		SEPT5-GP1BB	VIL1		IL1RAP		CEP164	TEAD1		PTPA	
											DCLRE1B				MFN2						ARRDC3	PACRG				BTNL9		EIF3J	TMEM121		PGGT1B	SNORD29	NELL1	FAM160B2		LINC00331	PKN3			MIR95	HTR1E	MRPL51		MIR4761	WNT6		IL5RA		IGSF9B	TH		PPP3R2	
											WDR77				PTPRU						ZSWIM6	RAET1E				HIGD2A		JMJD7-PLA2G4B	AMN		PIK3R1	SNORD31	NUCB2	DUSP26		LINC00333	DPP7			ZNF876P	IFNGR1	CLEC1B		LINC01311	XRCC5		IL12A		ENDOD1	TSPAN4		PPP6C	
											EPS8L3				CELA3A						ANKRA2	LOC153910				FAM153B		RAB11A	IFI27L2		PITX1	SNORD30	NUP98	HMBOX1		LINC00351	SLC2A8			DEFB131	IL17A	CLEC1A		POTEH-AS1	ZNF142		IMPDH2		EXPH5	TNNI2		PRKACG	
											VTCN1				WASF2						MCCC2	ZC2HC1B				LOC202181		SNAP23	SETD3		PMCHL2	SNORD28	SLC22A18	ZMAT4		LINC00353	OBP2B			LOC650293	IMPG1	C1RL		LOC100996335	FZD5		IRAK2		PHLDB1	TNNT3		PRSS3	
											DENND2D				ANGPTL7						CENPK	CNKSR3				EIF4E1B		ALDH1A2	APOPT1		POU4F3	SNORD27	SLC22A18AS	RNF122		LINC00358	OBP2A			ZNF732	ITPR3	KLRF1		LOC100996342	SCG2		ITGA9		SIK2	TPH1		PSMB7	
											SIKE1				HNRNPR						ERAP2	RAET1L				RASGEF1C		HERC2	HHIPL1		PPIC	SNORD26	OSBP	NUDT18		LINC00364	ST6GALNAC6			SCARNA22	KIFC1	WBP11		LOC100996415	FZD7		ITGB5		NCAPD3	TRAF6		PSMD5	
											TRIM45				SRRM1						ARHGEF28	PNLDC1				LINC01366		HERC1	GON7		PPP2CA	SNORD25	OVOL1	DOCK5		LINC00379	MRPS2			MIR571	KPNA5	PLEKHA5		LOC100996432	SDPR		ITIH1		ARHGEF12	TRPC2		PTCH1	
											VANGL1				CNKSR1						SLC30A5	LOC154449				EFCAB9		SNURF	STON2		PPP2R2B	SNORD22	P2RX3	BIN3-IT1		LINC00381	COQ4			MIR572	LAMA2	MANSC1		BMS1P17	CUL3		ITIH3		SIK3	TSG101		PTGS1	
											GPR61				UBE4B						CENPH	DACT2				SH3PXD2B		PSTPIP1	FAM181A		PURA	SLC22A6	PAX6	ZNF703		LINC00392	CERCAM			USP17L24	LAMA4	TAPBPL		LOC101927859	DGKD		ITIH4		VSIG2	PHLDA2		PTPN3	
											PROK1				MAD2L2						GPBP1	C6orf118				LOC285593		USP8	BTBD6		RAD17	SLC22A8	PDE3B	TTI2		LINC00395	EGFL7			USP17L25	LTA	MAGOHB		LOC101928891	STK16		ITPR1		BACE1	TUB		RAD23B	
											PSRC1				PDPN						PARP8	OSTCP1				FAM153A		CCNB2	EFCAB11		RASA1	NRXN2	PGA5	RAB11FIP1		LINC00433	PRRX2			USP17L26	LTB	FAM90A1		LOC101929350	KLF7		KNG1		TRIM29	WEE1		RALGDS	
											ATP1A1-AS1				KHDRBS1						ANKRD55	WDR27				ARL10		SLC28A2	EXOC3L4		RASGRF2	LPXN	PIK3C2A	REEP4		LINC00434	SPOUT1			USP17L27	MARCKS	PLEKHG6		LOC101929372	ADAM23		KPNA1		CADM1	WT1		RGS3	
											STRIP1				GMEB1						MCTP1	SHPRH				OR2V2		SLC24A1	WDR20		RPS14	PEX16	PLCB3	STMN4		LINC00440	C9orf78			USP17L28	MAN1A1	STYK1		MIR6816	NRP2		KPNA4		PANX1	ZNF143		RMRP	
											DNAJA1P5				NUDC						PTCD2	PHACTR2-AS1				ZNF454		CCPG1	AHNAK2		RPS23	FADS2	POLR2G	RNF170		LINC00446	FBXW5			USP17L29	MCM3	GPRC5D		LOC102723769	CFLAR		LAMB2		POU2F3	ZNF195		RORB	
											HENMT1				MASP2						ELOVL7	PACRG-AS1				C5orf60		GCNT3	TRMT61A		SGCD	MAPK8IP1	POLR2L	TM2D2		LINC00448	TBC1D13			USP17L30	MDFI	ATF7IP		LOC102723780	PER2		RPSA		HINFP	ZNF214		RPL7A	
											OLFM3				SRSF10						TRAPPC13	PRR18				PRR7-AS1		COPS2	TDRD9		SKP1	TP53I11	PPP2R5B	POMK		LINC00559	TOR4A			FLJ36777	ME1	H2AFJ		LOC102725072	CDK5R2		LPP		REXO2	ZNF215		RPL12	
											MAB21L3				UTS2						ATG10	LOC285804				PFN3		TRIP4	ANKRD9		SLC6A7	ATG13	PRG2	GINS4		CLDN10-AS1	EXD3			PSAPL1	MEA1	FOXJ2		LINC01297	CNOT9		LSAMP		OR8G2	RASSF7		RXRA	
											SLC44A3				RCAN3						SPATA9	ZC3H12D				ZNF879		TGM5	AK7		SLC12A2	CKAP5	PSMA1	HOOK3		DIAPH3-AS1	RABL6			MIR943	MAP3K5	ITFG2		BMS1P22	LRRFIP1		LTF		OR8B8	CSRP3		CCL19	
											ATXN7L2				MST1P2						FAM172A	NUP43				FBLL1		COX5A	IFI27L1		SLC22A4	NAALADL1	PSMC3	PLPP5		DIAPH3-AS2	LRRC8A			LOC100129917	MEP1A	LMO3			STK17B		TM4SF1		OR8G1	PDHX		CCL21	
											C1orf194				MST1L						ADGRV1	RAET1G				SIMC1		STOML1	C14orf79		SLC22A5	NR1H3	PSMD13	MAK16		NDFIP2-AS1	INPP5E			LOC100129931	MICB	PRMT8			GPR55		MAP4		TIMM8B	BBOX1		SET	
											LRRC39				PADI2						UTP15	SUMO4				MIR103A1		PIGB	PLD4		SMN1	KCNK7	PTH	FUT10		MYCBP2-AS1	NPDC1			LOC100130872	MLN	PARP11			TRIP12		MBNL1		OR8B2	PPFIBP2		SHB	
											DRAM2				LYPLA2						ZCCHC9	C6orf120				MIR218-2		KIF23	ADSSL1		SMN2	HIPK3	PTPRJ	CHMP7		RNF219-AS1	BARHL1			LOC100133461	MOCS1	ANO2			GTF3C3		MCM2		CHORDC1	IFITM1		SPTAN1	
											PIFO				PARK7						SLF1	SAMD5				FLJ16171		IGDCC3	TTC8		SNX2	RASGRP2	PYGM	SMIM19		LINC00348	SH3GLB2			USP17L10	MOG	C12orf4			ECEL1		MELTF		ACAD8	DGKZ		STXBP1	
											C1orf162				CTRC						ZBED3	IYD				MIR340		PPIP5K1	TC2N		SPARC	GLYAT	RAB3IL1	GOT1L1		MRPS31P5	REXO4			USP17L11	MSH5	TIGAR			EIF4E2		MITF		B3GAT1	CHST1		SURF1	
											SYT6				DNAJC8						GFM2	DKFZp451B082				SNORD95		AQR	SLC24A4		SPINK1	RTN3	MAP4K2	NKX2-6		LINC01080	DOLPP1			USP17L12	MUT	LPAR5			TTLL4		MLF1		DCPS	API5		SURF2	
											TMEM56				CLSTN1						SPZ1	TCP10L2				SNORD96A		SECISBP2L	SLC25A29		SPOCK1	PRG3	RAG1	GPAT4		LOC101926897	KCNT1			USP17L13	MYB	AICDA			BZW1		MLH1		C11orf54	MADD		SURF4	
											NBPF4				AKR7A3						NDUFAF2	LOC401286				LOC643201		KIAA0101	DEGS2		SRP19	CDC42EP2	RAG2	UNC5D		LINC00378	GPR107			USP17L17	MYO6	RIMKLB			HDAC4		MME		ZBTB44	OR6A2		MED22	
											SLC30A7				SPEN						MRPS36	LINC00242				ZFP62		ARHGAP11A	LINC00239		TAF7	EIF3M	RAPSN	LETM2		LOC101926951	PRDM12			USP17L18	RPL10A	FAM234B			FARP2		MOBP		THYN1	DCHS1		SURF6	
											CHIAP2				KDM1A						ATP6AP1L	LINC01624				SMIM23		LCMT2	LINC00637		TAF9	NXF1	RARRES3	HGSNAT		LMO7-AS1	CARD9			USP17L19	NEU1	CLEC7A			FARSB		CD200		DDX25	EIF3F		SYK	
											DENND2C				WDTC1						SNX18	GTF2H5				CBY3		ARNT2	LINC00618		TBCA	KAT5	RCN1	PEBP4		LINC01069	DDX31			USP17L20	NFKBIE	BCL2L14			ABCB6		MST1		NTM	BRSK2		TAL2	
											PLPPR5				EMC1						FCHO2	LINC00602				FAM153C		USP3	GSC		TCF7	SSSCA1	RELA	CDCA2		LINC00382	FAM129B			USP17L15	NFKBIL1	RERGL			ARPC2		MST1R		CDON	SLC6A5		TEK	
											FNDC7				KIF1B						RAB3C	LOC441178				SNORA74B		SLC12A6	SERPINA12		TCOF1	TAF6L	DPF2	ESCO2		LINC01049	MRPL41			MIR548I2	NFYA	PLBD1			ARL4C		MUC4		SIDT2	PEX16		TESK1	
											SASS6				PLEKHM2						LYSMD3	RPS18P9				MIR585		NR2E3	PRIMA1		NR2F1	SCGB1D2	RNH1	FBXO16		LOC101927248	C9orf16			TMED11P	NMBR	NANOG			ABI2		MYD88		TRAPPC4	MAPK8IP1		TGFBR1	
											UBL4B				OTUD3						SETD9	LOC645967				LOC728095		BCL2L10	CEP128		TGFBI	SCGB1D1	ROM1	NKX6-3		LOC101927284	EHMT1			MIR4274	NOTCH4	DUSP16			CALCRL		MYL3		CWC15	TP53I11		TLE1	
											ALG14				KAZN						IL31RA	RAET1K				LOC728554		HCN4	TTC7B		THBS4	CELF1	MRPL23	KCNU1		LOC101929657	PTGES2			MIR3138	NT5E	APOLD1			RAMP1		MYLK		SPA17	MICAL2		TLE4	
											HIPK1				CAMTA1						EMB	AFDN-AS1				AACSP1		SCAMP2	SYNE3		TTC1	OR5I1	RPL27A	IDO2		LINC00380	URM1			STX18-AS1	OPRM1	GSG1			SPEG		NCK1		FXYD6	CTR9		TLN1	
											AKR7A2P1				DNAJC16						JMY	SNORA20				LINC00847		SNUPN	EML5		UBE2B	EHD1	RPLP2	R3HCC1		LINC00397	AIF1L			MIR378D1	PBX2	CDCA3			LANCL1		NDUFB4		CNTN5	ATG13		TLR4	
											AKNAD1				UBR4						POU5F2	SNORA29				OR4F29		PDCD7	LINC00638		UBE2D2	STIP1	RPS13	HTRA4		LINC01065	UCK1			MIR4800	PCMT1	RHNO1			NMUR1		NDUFB5		SIAE	CKAP5		TMOD1	
